name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos
Adelie Penguin,"['Antarctica', 'Asia', 'Eurasia', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,"Krill, Fish, Squid",Chicks,Colony,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1.0,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,"Leopard Seal, Skua Gull, Killer Whale",,40cm - 75cm (16in - 30in),,,,35cm - 70cm (14in - 27.5in),2 months,90 days,2.0,,,,,,,,,1,0,0
African Grey Parrot,['Africa'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,,,"630,00 to 13 million","Habitat destruction, pet trade, pesticides, hunting",,"Congo grey parrot, grey parrot, Congo African grey parrot",,"Lowland forests, mangroves, savannas, gardens",Herbivore,,,African grey parrot,1.0,Central and West Africa,,,GreyRed,,42 mph,"23 years in the wild, up to 60 years in captivity",14.75 to 18.5 ounces,13 inches,,,three to five,"Birds of prey, monkeys, terrestrial predators",bird,,,,,18 to 20.5 inches,30 days,,4.0,,,,Tree cavity,12 weeks,,,,1,0,0
African Penguin,"['Africa', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,"Fish, Squid, Crustaceans",Chick,Colony,"140,000",Habitat disruption,Pink glands above their eyes,Jackass Penguin,,Rocky Ocean Islands,Carnivore,,Diurnal,African Penguin,1.0,south-west African coast,The only penguin species in Africa!,Bird,GreyBlackWhite,Feathers,12.4 mph,10 - 15 years,2kg - 5kg (4.4lbs - 11lbs),,3 - 4 years,,,"Sharks, Fur Seals, Gulls",,60cm - 68cm (24in - 27in),,,,,40 days,3 - 5 months,2.0,,Salt,,,,,,,1,0,0
Albatross,"['Africa', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,,Diomedeidae,"Squid, krill, and fish",Chicks,Colonial Nesting,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,,,Albatross,,The Southern Hemisphere and North Pacific,,,BrownGreyYellowRedBlackWhite,Feathers,50 mph,Up to 50 years,Up to 22lbs (10kg),Up to 4.4ft (1.2m),5 to 10 years,,1,"Humans, sharks, cats, and rats",Bird,,,,,Up to 3.3m (11ft),,3 to 10 months,,,,,,,,,,1,0,0
Amazon Parrot,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,,,,,"The populations of many wild Amazon parrots haven’t been quantified, but 58 percent of these parrots are now considered endangered as of 2021. As of 2020 there were 2361 yellow-naped Amazon parrots, and there are an estimated 9000 to 10,000 red-tailed amazons in the wild. On the other hand, the Imperial amazon is considered critically endangered, and there may be only 50 adult birds in the wild.","Pet trade, habitat destruction",Their colorful feathers,"Sisserou, turquoise-fronted parrot, yellow-shouldered parrot, mercenary amazon, red-tailed parrot, cuca",,"Woodlands, savannas, rainforests, palm groves, cloud forests, moist forests, mountain forests",Herbivore,,,Amazon Parrot,35.0,"South America, the Caribbean, Mexico, South Africa, Europe",,,YellowRedBlueGreenPurple,Feathers,50 mph,As long as 100 years,7.6 ounces to 32 ounces,10 to 20 inches long,,,Two to five,"Monkeys, birds of prey, snakes",Bird,,,,,8 inches to 11.26 inches,About a month,,,,,,Tree cavity,Two months,,,,1,0,0
American Robin,"['Central-America', 'Europe', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius,"earthworms, caterpillars, grasshoppers, beetle grubs, spiders, and snails",fledling,,310 million,pesticides,orange chest,,,"woodland, shrubland, and residential",Omnivore,,,American robin,7.0,North America,,,GreyBlackWhiteOrange,Feathers,36 mph,2 years,75-77g,8-11in,,,3-5,"birds of prey, snakes, and cats",bird,,,,,12-16in,12-14 days,,,,,,tree forks and dense shrubs,,,,1.0,1,0,0
Avocet,"['Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra,,,,,,,,,Temperate wetlands,Carnivore,,Flock,,,,"Has a curved, upturned beak!",,BlackWhite,Feathers,25 mph,10 - 15 years,140g - 400g (5oz - 14oz),42cm - 45cm (16in - 18in),,,,"Dogs, Cats, Stouts",Bird,,Long curved beak and striking plumage,,,29-31.5 inches,3-4 weeks,,,"Insects. Fish, Crustaceans",,,Shores,About a month,Insects,,1.0,1,0,0
Bald Eagle,['North-America'],Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,haliaeetus leucocephalus,"Fish, birds, and small mammals",,,,Pesticide use,The white plumage on the head,American eagle,,Near forests,Carnivore,,,bald eagle,1.0,North America,,,BrownYellowWhite,,100 mph,15-20 years in the wild,6.6-14lbs,,,,,"Wolverines, bobcats, foxes, bears, raccoons, and birds",bird,28-38 inches,,,,70-90 inches,35 days,,2.0,,,,"Cliffs, trees, buildings, and ground",8-14 weeks,,,,1,0,0
Barn Owl,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,Tyto alba,,,,,,,,,Open plains and low-lying woodland,Carnivore,,Solitary,,,,Found everywhere around the world!,,BrownGreyBlackWhiteOrange,Feathers,50 mph,5 - 10 years,300g - 550g (10oz - 19.4oz),,,,,,Bird,25cm - 45cm (9.8in - 18in),"White heart-shaped face and large, dark eyes",,,75cm - 110cm (30in - 43in),,,4.0,"Small mammals, Fish, Birds",,,,,Small mammals,,,1,0,0
Barn Swallow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,,,,290-487 million,humans,forked tail,swallow,,"grassland, shrubland, wetland, savanna, urban",Carnivore,,,barn swallow,1.0,"North America, South America, Central America",,,BlueBlackWhiteOrangeBeige,Feathers,45 mph,,17g-20g (0.037lb-0.044lb),15cm-19cm (5.9in-7.5in),,,4-5,"falcons, hawks, owls",bird,,,,,29cm-34cm (11.4in-13.3in),12-17 days,,,insects,,,in or around structures,,,,1.0,0,1,0
