taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_habitat
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina triglandularis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella salisburii,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela microcornis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha bidens,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha reclusa,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Dicranophoridae,Streptognatha,Streptognatha lepta,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Collothecacea,Atrochidae,Acyclus,Acyclus inquietus,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia cornuta,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha sylvestris,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Dicranophoridae,Parencentrum,Parencentrum plicatum,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella curvicaudata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina striata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha subtilis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha roeperi,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia punctata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella margalefi,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela natans,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria rotatoria,[]
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha scabropyga,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,Conochilus unicornis,[]
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha bartosi,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia novaezealandiae,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Embata,Embata hamata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella monodactyla,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Gastropodidae,Ascomorpha,Ascomorpha saltans,[]
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria murrayi,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinavidae,Abrochtha,Abrochtha intermedia,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca judayi,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,Collotheca discophora,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra hystrix,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria exoculis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela longistyla,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella rhomboidula,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Trochosphaera,Trochosphaera solstitialis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha elusa,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura elsteri,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinavidae,Philodinavus,Philodinavus aussiensis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra lineata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Colurella,Colurella adriatica,[]
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha curvicollis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra alpium,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella punctata,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria laticeps,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella dorsalis,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra longicornicula,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Dicranophoridae,Donneria,Donneria sudzukii,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Squatinella,Squatinella pseudorostrum,['FRESHWATER']
Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha flaviformis,['FRESHWATER']
