name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Albacore Tuna,Ocean,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,Unknown,Unknown,School,More than a million,Overfishing,The long pectoral fin that stretches across the body,Longfin tuna,A few days,Oceans,Carnivore,Unknown,Unknown,Albacore tuna,1.0,Unknown,Unknown,Unknown,GreyBlueSilver,Smooth,50 mph,10 - 12 years,Up to 80lbs,1.2m (4ft),Unknown,Unknown,Unknown,"Sharks, billfish, rays, humans, and other tunas",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, crustaceans, cephalopods, and mollusks",Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,18,120
Alligator Gar,Central-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,Unknown,Unknown,Solitary,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,Unknown,Unknown,Alligator Gar,1.0,Unknown,Unknown,Unknown,BrownGreyYellowWhiteGreen,Scales,Unknown,About 50 years,Up to 350lbs,Up to 3m (10ft),Unknown,Unknown,Unknown,Humans and alligators,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, turtles, birds, and mammals",Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,78.75,150
Alligator Gar,North-America,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,Unknown,Unknown,Solitary,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,Unknown,Unknown,Alligator Gar,1.0,Unknown,Unknown,Unknown,BrownGreyYellowWhiteGreen,Scales,Unknown,About 50 years,Up to 350lbs,Up to 3m (10ft),Unknown,Unknown,Unknown,Humans and alligators,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, turtles, birds, and mammals",Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,78.75,150
Anchovies,Ocean,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Unknown,Unknown,Recently hatched fish and planktons,Unknown,School,"20,700 metric tons","Halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Protruding upper jaw that extends to behind their eyes,Unknown,Unknown,"Salt waters and brackish waters, as well as in temperate waters",Omnivore,Unknown,Unknown,Unknown,144.0,Unknown,Unknown,Unknown,Green,Scales,Unknown,4 years,A few ounces,"5 to 6 inches, 10 inches at the maximum",Unknown,Unknown,Unknown,"Humans, halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Recently hatched fish and planktons,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.028,13
Angelfish,Ocean,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Unknown,Unknown,Unknown,Unknown,Social,Unknown,Water pollution,Brightly colored scales,Unknown,1-3 days,Coral reefs,Omnivore,Unknown,Unknown,Angelfish,90.0,Unknown,There are 70 different species!,Unknown,YellowBlueBlackWhiteGreen,Scales,Unknown,Up to 15 years,Up to 2 pounds,8 to 12 inches,Unknown,Unknown,Unknown,"Larger fish, barracudas, sharks",Perciformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Sponges, algae",Salt,Unknown,Unknown,Fish,Unknown,Unknown,6.5 - 7.2,Unknown,Unknown,1,0,0,0.45,25
Anglerfish,Ocean,Animalia,Chordata,Actinopterygii,Lophiiformes,Unknown,Unknown,Unknown,Crustaceans and fish,Unknown,Solitary,Unknown,Unknown,The lure,Seadevils,Up to a few weeks,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyYellowBlackGreen,Skin,Unknown,Up to 25 years,Up to 110lbs,Up to 1.2m (4ft),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,24.75,60
Arapaima,South-America,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,Arapaima,Unknown,"fish, insects, seeds",Unknown,Solitary,Unknown,"Overfishing, habitat destruction",Unknown,Pirarucu,Unknown,Unknown,Omnivore,Unknown,Unknown,Arapaima,4.0,Unknown,Unknown,Unknown,RedBlackGreenLight-Brown,Scales,Unknown,20 years,200kg-220kg (440lbs - 485lbs),10ft-15ft (3m-4.5m),Unknown,Unknown,Unknown,"humans, caimans",Bonytongue,Unknown,Red tail,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6.0 - 6.5,Unknown,Unknown,1,0,0,210,381
Banana Eel,Ocean,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax miliaris,"Crustaceans, mollusks, small fish.",Unknown,Solitary,Unknown,Bigger fish,Yellow body,"Golden banana moray eel, golden-tail moray, bastard eel, conger moray",Unknown,"Reefs, rocky coasts, and other shallow waters with hiding places from predators.",Carnivore,Unknown,Unknown,Golden-tail moray,1.0,Unknown,Unknown,Unknown,BrownYellow,Scales,Unknown,12 – 15 years,Unknown,2 feet long,Unknown,Unknown,Unknown,Bigger fish,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1 – 8.4,Unknown,Unknown,1,0,0,Unknown,60.96
Barb,Africa,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus Barbus,"Small fish, algae, insects",Unknown,School,unknown,water pollution,vibrant colors,Unknown,3-4 days,Slow flowing rivers and lagoons,Omnivore,Unknown,Unknown,Barb,1768.0,Unknown,There are over 1768 known species!,Unknown,YellowRedBlackWhiteOrangeSilver,Scales,Unknown,3 - 7 years,Unknown,2-13 inches,Unknown,Unknown,Unknown,"Fish, Birds, Reptiles",Cypriniformes,Unknown,Easily adaptable and rows of teeth,Unknown,Unknown,1500.0,Unknown,Unknown,"Fish, Shrimp, Algae",Fresh,Unknown,Unknown,Fish,Unknown,Unknown,6.0 - 8.0,Unknown,Unknown,1,0,0,Unknown,18.75
Barb,Asia,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus Barbus,"Small fish, algae, insects",Unknown,School,unknown,water pollution,vibrant colors,Unknown,3-4 days,Slow flowing rivers and lagoons,Omnivore,Unknown,Unknown,Barb,1768.0,Unknown,There are over 1768 known species!,Unknown,YellowRedBlackWhiteOrangeSilver,Scales,Unknown,3 - 7 years,Unknown,2-13 inches,Unknown,Unknown,Unknown,"Fish, Birds, Reptiles",Cypriniformes,Unknown,Easily adaptable and rows of teeth,Unknown,Unknown,1500.0,Unknown,Unknown,"Fish, Shrimp, Algae",Fresh,Unknown,Unknown,Fish,Unknown,Unknown,6.0 - 8.0,Unknown,Unknown,1,0,0,Unknown,18.75
