name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Northern Water Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Serpentes,Nerodia,Nerodia sipedon,"Fish, amphibians, smaller reptiles, rodents, small mammals, invertebrates",Unknown,Unknown,Unknown,Unknown,Unknown,common water snake,Unknown,Unknown,Carnivore,Unknown,Unknown,northern water snake,Unkown,Unknown,Unknown,Unknown,GreyBlackTanBlack-BrownGrey-Brown,Scales,Unknown,9 years in captivity; unknown in the wild,Unknown,"2 feet 3.5 inches to 4.5 feet, including the tail",Unknown,Unknown,12-36,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Indian Cobra,['Asia'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,Naja naja,"Rodents, lizards, and frogs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Indian cobra,Unkown,Unknown,Unknown,Unknown,BrownYellowBlackWhite,Scales,Unknown,24 years,Unknown,four to seven feet,Unknown,Unknown,12-20 eggs,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Rainbow Boa,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Boidae,Epicrates,Epicrates cenchria,"Rodents, small birds, small lizards, some aquatic animals.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Rainbow boa, slender boa.",Unkown,Unknown,Unknown,Unknown,BrownRedWhiteBlack-Brown,Scales,Unknown,20+ years,Unknown,4-6 feet,Unknown,Unknown,12-25 babies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.0,
Emerald Tree Monitor,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus prasinus,"Insects, invertebrates, rodents",hatchling,Social,Unknown,"Poaching, habitat loss","long, prehensile tail",Green tree monitor,165 days,Tropical rainforests,Carnivore,Unknown,Unknown,emerald tree monitor,8.0,Indonesia,Unknown,lounge,Green,Scales,22 mph,10 to 15 years,11 ounces,three feet,two years,three months,three to seven,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,150.0,105.0
Caiman Lizard,['South-America'],Animalia,Chordata,Reptilia,Squamata,Teiidae,Dracaena,Unknown,"snails, insects, freshwater clams, fish, amphibians, rodents",hatchling,Largely solitary,unknown,habitat loss,large crocodile-like scales,"Dracaena lizard, water tegu",Unknown,"forest, wetlands, flooded woodlands, savanna",Carnivore,Unknown,Unknown,"Northern Caiman lizard, Paraguay Caiman lizard",2.0,South America,Unknown,Unknown,GreyRedTanGreenOrange,Scales,Unknown,8-12+ years,3.6kg-5.4kg (8lbs-12lbs),0.6m-1.2m (2ft-4ft),Unknown,Unknown,5-7,"crocodiles, snakes, jaguars",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,181.0,226.0
Mud Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Farancia,Farancia abacura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,6 to 104,Unknown,Mud snake,Unkown,Unknown,Unknown,Unknown,Multi-colored,Unknown,Unknown,19 years,Unknown,1.18 to 4 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,181.0,226.0
Stiletto Snake,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Unknown,Unknown,"small mammals, burrowing reptiles, frogs.",Unknown,Unknown,Unknown,Unknown,Unknown,"Southern stiletto snake, Bibron's stiletto snake, Side-stabbing snake, Bibron's burrowing asp, Bibron's mole viper.",Unknown,"fynbos, karoo scrub, semi-desert, savannahs, grasslands, woodlands, and forests",Carnivore,Unknown,Unknown,Unknown,Unkown,sub-Sahara Africa,Unknown,Unknown,BrownBlackWhitePurple,Scales,Unknown,12-22 years,Unknown,"12-16 inches, though it may reach 21.75 inches",Unknown,Unknown,2-17 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,181.0,226.0
Eastern Fence Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Phyrnosomatidae,Sceloporus,Sceloporus undulatas,"insects, arachnids, and arthropods",hatchling,Solitary,"over 1,000,000",habitat loss,"spiny scales, wavelike markings","fence lizard, plateau lizard, prairie lizard",8-10 weeks,"forest, grassland, and shrublands",Carnivore,Unknown,Diurnal,Eastern fence lizard,7.0,"parts of the United States, Mexico",Unknown,lounge,BrownGreyBlueBlack,Scales,Unknown,2-5 years,15g,4-7 inches,1-2 years,Unknown,3-16,"snakes, birds, larger lizards, cats",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Sulcata Tortoise,['Africa'],Animalia,Chordata,Reptilia,Testudines,Testudinidae,Centrochelys,Centrochelys sulcata,Unknown,Hatchling,Solitary,"Unknown, but the animal is listed as vulnerable or endangered","Hunting, poaching, habitat destruction",Its size,African spurred tortoise,About 75 days,"Desert, dry savanna",Herbivore,Unknown,Unknown,"African spurred tortoise, spurred tortoise, African spur thigh tortoise",1.0,Southern part of the Sahara Desert,Unknown,Unknown,BrownYellow,Hard Shell,0.3 mph,More than 70 years,79 to 200 pounds,30 inches,15 years of age,Unknown,15 to 30,Humans,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,30.48
Wolf Snake,['Asia'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Lycodon,Lycodon capucinus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,3 to 11,Unknown,Wolf snake,Unkown,Unknown,Unknown,Unknown,GreyYellowBlackWhite,Unknown,Unknown,About 10 years,Unknown,20 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,30.48
Pine Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis melanoleucus,"Rodents, birds, eggs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,12 to 24,Unknown,Pine snake,Unkown,Unknown,Unknown,Unknown,BrownBlack,Unknown,Unknown,15 to 20 years,Unknown,4 to 6 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,0.0
