name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Aardvark,['Africa'],Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,"Termites, Ants",Cub,Solitary,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18.0,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,BrownGreyYellow,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,,,,,,,,,,,,,,,,,,,,,,,,
Aardwolf,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Termites and other insects,Cubs or pups,Solitary,,Habitat loss,The thick mane that runs along the back,"Maanhaar-jackal, termite-eating hyena, and civet hyena",90 days,Savannas and grasslands,Carnivore,,,aardwolf,1.0,Sub-Saharan Africa,,,BrownYellowBlack,Hair,,15 years,17-31lbs,33-41in,1.5-2 years,3-4 months,2-5,"Jackals, lions, and leopards",mammal,16-20in,,,,,,,,,,,,,,,,,,,,
Abyssinian,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,The oldest breed of cat in the world!,Cat,BrownGreyBlackWhiteBeige,Hair,,13-15 years,6-10 lbs,,,,,,Shorthair,,Silky fur and almond shaped eyes,Intelligent and curious,Easy,,,,,,,,,,,,,,,,,
Addax,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,,Calf,Social,Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,,,Addax,1.0,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,WhiteGrey-Brown,Hair,,19-25 years,,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,1-2,"Humans, big cats such as lions and leopards, medium-sized cats such as servals, hyenas and African wild dogs",Mammal,"Males 41 to 45 inches at the shoulder, females 37 to 43 inches at the shoulder",,,,,,,,,,,,,,,,,,,,
Adelie Penguin,"['Antarctica', 'Asia', 'Eurasia', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,"Krill, Fish, Squid",Chicks,Colony,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1.0,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,"Leopard Seal, Skua Gull, Killer Whale",,40cm - 75cm (16in - 30in),,,,35cm - 70cm (14in - 27.5in),2 months,90 days,2.0,,,,,,,,,,,,,
Aesculapian snake,"['Asia', 'Europe']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,Zamenis longissimus,"Rodents, shrews, moles, birds, eggs, lizards, and insects",,,,,,,,,Carnivore,10 eggs,,Aesculapian snake,,,,,BlackOliveMulti-colored,,,25-30 years,,3-6.6 feet,,,,,,,,,,,,,,No,Low,,,,,,,,,,,
Affenpinscher,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,GreyBlack,Hair,,,,,,,,,Terrier,,Dark wiry-haired body and dark eyes,Alert and inquisitive,Medium,,,,,,,,,,,,,,,,,
Afghan Hound,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,7,,Afghan Hound,,,First used as a shepherd and hunter!,Dog,BrownBlackWhiteGold,Hair,,,,,,,,,Hound,,Long fur and pointed muzzle,Alert yet reserved and lively,Moderately Easy,,,,,,,,,,,,,,,,,
African Bullfrog,['Africa'],Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,,"Tadpole, polliwog, larva",Solitary,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",,"Deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,,,African bullfrog,1.0,Sub-Saharan Africa,,,YellowCreamOliveLight-Brown,Permeable,,45 years,0.9 to 18 kilograms (2 - 4 pounds),11.43 - 25.4 centimeters (4.5 - 10 inches),1.5 - 2 years,,As many as 4000 eggs laid at a time,Humans,Amphibian,,,,,,,,,,,"Reptiles, small mammals, small birds, insects, amphibians, including other frogs",Fresh,,,,,,,,,
African Bush Elephant,['Africa'],Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,"Grass, Fruit, Roots",Calf,Herd,"300,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1.0,central and southern Africa,Can drink up to 50 gallons a day,Mammal,BrownGrey,Leather,25 mph,60 - 70 years,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",,11 - 20 years,6 - 18 months,,"Human, Lion, Hyena",,3m - 3.5m (10ft - 12ft),,,,,,,,,,,,,,,,,,,,
