name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,coordenadas
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela nixa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Poison Dart Frog,"['Central-America', 'South-America']",Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical jungle and wet forests,Carnivore,10,Solitary,Unknown,Unkown,Unknown,Inhabits the jungles of Central and South America!,Unknown,YellowRedBlueGreenOrange,Permeable,10 mph,2-4 years,2-7g (0.07-0.25oz),Unknown,Unknown,Unknown,Unknown,Snake,Amphibian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Ants, Spiders",Unknown,Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,Unknown,
Lakeland Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,RedBlueBlackBlonde,Hair,Unknown,12 – 16 years,17 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Smart and lively,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Colossal Squid,['Ocean'],Animalia,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Mesonychoteuthis,Mesonychoteuthis hamiltoni,"Fish, squid",Unknown,Unknown,Unknown,Natural predators,Massive size,"Antarctic squid, giant cranch squid",Unknown,ocean,Carnivore,Unknown,Solitary,Colossal squid,Unkown,Unknown,Unknown,Unknown,Pink,Skin,Unknown,Unknown,1300lbs,14m (46ft),Unknown,Unknown,Unknown,Sperm whales,Cephalopod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, squid",Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella patella,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Blue Jay,['North-America'],Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata,"Grasshoppers, caterpillars, beetles",Nestlings,Unknown,13 million,Predators and collision with man-made structures,“Jay-jay” sounds while communicating and bright blue feathers,Unknown,16 to 18 days,"Low forest areas, oak and beech trees, city parks, residential areas",Omnivore,Unknown,DiurnalSociable,Blue Jay,3.0,"North America, Southern Canada",Unknown,Party/ band,Blue,Feathers,25 mph,7 years on an average,2.7 to 3.5 oz,9 to 12 inches,One year,17 to 21 days old,Two to seven nestlings,"Cats, hawks, owls, snakes, raccoons",Unknown,9 to 12 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Nuts, seeds, acorns, grasshoppers, caterpillars, beetles, eggs, nestlings",Unknown,Unknown,Unknown,Unknown,
Springerdoodle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Goldador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Pufferfish,['Ocean'],Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Unknown,Tetraodontidae,Unknown,Unknown,Solitary,unknown,habitat loss,inflatable air sack,"Blowfish, balloonfish, swellfish",4-7 days,Tropics,Carnivore,Unknown,Unknown,Pufferfish,Unkown,Unknown,The second most poisonous creature in the world!,Unknown,BrownGreyYellowBlueWhite,Spikes,Unknown,10 years,20-30 lbs,1 inch - 2 feet,Unknown,Unknown,Unknown,"Humans, Sharks, Large Fish",Tetraodontidae,Unknown,Inflatable body and sharp poisonous spikes,Unknown,Unknown,Unknown,Unknown,Unknown,6.0,Unknown,Unknown,"algae, invertebrates, shellfish",Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.7 - 6.4,Unknown,
Devils Coach Horse Beetle,"['Africa', 'Europe']",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Ocypus,Ocypus olens,"Insects, worms, snails, and slugs",Larvae,Solitary,Unknown,None,The long curling tail,"Devil’s footman, devil’s coachman, devil’s steed, and cock-tail beetle",30 days,"Grasslands, farmlands, woodlands, heathlands, and gardens",Carnivore,Unknown,Unknown,Devil’s Coach Horse Beetle,1.0,"Europe and North Africa, transplanted elsewhere",Unknown,Unknown,BrownBlack,Exoskeleton,Unknown,A year,10-50mg,2-3.2cm (0.8-1.3in),6-7 months,Unknown,A single egg at a time,Other insects,Insect,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria neptunia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Parrot Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Leptophis,Leptophis ahaetulla,"Lizards, frogs, and small birds",Hatchlings,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Lora or parrot snake,Unkown,Unknown,Unknown,Unknown,GoldGreen,Unknown,Unknown,7-8 years,Unknown,Up to 68 inches long (with tail),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Wolf,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Grass plains and woodland,Carnivore,4,Pack,Unknown,Unkown,Unknown,"Thought to date back more than 300,000 years!",Unknown,BrownGreyBlackWhite,Fur,46 mph,10-12 years,80-150lbs,Unknown,Unknown,Unknown,Unknown,Human,Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Deer, Elk, Moose",Unknown,Unknown,Unknown,Unknown,Unknown,Deer,Unknown,Unknown,Unknown,Unknown,
