name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,characteristics_diet
Adelie Penguin,"['Antarctica', 'Asia', 'Eurasia', 'Ocean']",Animalia,Chordata,Aves,Carnivore
African Grey Parrot,['Africa'],Animalia,Chordata,Aves,Herbivore
African Penguin,"['Africa', 'Ocean']",Animalia,Chordata,Aves,Carnivore
Albatross,"['Africa', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Carnivore
Amazon Parrot,"['Central-America', 'South-America']",Animalia,Chordata,Aves,Herbivore
American Robin,"['Central-America', 'Europe', 'North-America']",Animalia,Chordata,Aves,Omnivore
Avocet,"['Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Carnivore
Bald Eagle,['North-America'],Animalia,Chordata,Aves,Carnivore
Barn Owl,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Carnivore
Barn Swallow,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Carnivore
Barred Owl,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Carnivore
Baya,['Asia'],Animalia,Chordata,Aves,Omnivore
Bearded Vulture,"['Africa', 'Asia', 'Europe']",Animalia,Chordata,Aves,Carnivore
Bird Of Paradise,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Omnivore
Black-Capped Chickadee,['North-America'],Animalia,Chordata,Aves,Omnivore
Blackpoll Warbler,"['Europe', 'North-America']",Animalia,Chordata,Aves,Omnivore
Blue grosbeak,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Blue Jay,['North-America'],Animalia,Chordata,Aves,Omnivore
Budgerigar,['Oceania'],Animalia,Chordata,Aves,Omnivore
Carolina Parakeet,['North-America'],Animalia,Chordata,Aves,Omnivore
Cassowary,['Oceania'],Animalia,Chordata,Aves,Omnivore
Chickadee,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Chinstrap Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Carnivore
Chipping Sparrow,['North-America'],Animalia,Chordata,Aves,Omnivore
Cockatiel,['Oceania'],Animalia,Chordata,Aves,Herbivore
Cockatoo,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Omnivore
Common Buzzard,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Carnivore
Common Raven,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Aves,Omnivore
Cooper’s Hawk,"['Central-America', 'North-America']",Animalia,Hemichordata,Aves,Carnivore
Crane,"['Africa', 'Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Aves,Omnivore
Eagle,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Aves,Carnivore
Eastern Bluebird,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Eastern Phoebe,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Omnivore
Eclectus Parrot,['Oceania'],Animalia,Chordata,Aves,Herbivore
Egyptian Goose,['Africa'],Animalia,Chordata,Aves,Omnivore
