name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,characteristics_diet
Aardvark,['Africa'],Animalia,Chordata,Mammalia,Omnivore
Aardwolf,['Africa'],Animalia,Chordata,Mammalia,Carnivore
Abyssinian,['Africa'],Animalia,Chordata,Mammalia,Omnivore
Addax,['Africa'],Animalia,Chordata,Mammalia,Herbivore
Affenpinscher,['Europe'],Animalia,Chordata,Mammalia,Omnivore
Afghan Hound,['Asia'],Animalia,Chordata,Mammalia,Omnivore
African Bush Elephant,['Africa'],Animalia,Chordata,Mammalia,Herbivore
African Civet,['Africa'],Animalia,Chordata,Mammalia,Omnivore
African Forest Elephant,['Africa'],Animalia,Chordata,Mammalia,Herbivore
African Palm Civet,['Africa'],Animalia,Chordata,Mammalia,Omnivore
African Wild Dog,['Africa'],Animalia,Chordata,Mammalia,Carnivore
Aidi,['Africa'],Animalia,Chordata,Mammalia,Omnivore
Ainu,['Asia'],Animalia,Chordata,Mammalia,Omnivore
Airedale Terrier,['Europe'],Animalia,Chordata,Mammalia,Omnivore
Airedoodle,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Akbash,['Europe'],Animalia,Chordata,Mammalia,Omnivore
Akita,['Asia'],Animalia,Chordata,Mammalia,Omnivore
Akita Shepherd,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Alabai,['Eurasia'],Animalia,Chordata,Mammalia,Omnivore
Alaskan Husky,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Alaskan Klee Kai,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Alaskan Malamute,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Alaskan Shepherd,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Alpaca,['South-America'],Animalia,Chordata,Mammalia,Herbivore
Alpine Dachsbracke,['Europe'],Animalia,Chordata,Mammalia,Omnivore
Alpine Goat,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Herbivore
Alusky,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Amazon River Dolphin (Pink Dolphin),['South-America'],Animalia,Chordata,Mammalia,Carnivore
American Alsatian,['North-America'],Animalia,Chordata,Mammalia,Carnivore
American Bulldog,['North-America'],Animalia,Chordata,Mammalia,Omnivore
American Cocker Spaniel,['North-America'],Animalia,Chordata,Mammalia,Omnivore
American Coonhound,['North-America'],Animalia,Chordata,Mammalia,Omnivore
American Eskimo Dog,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Omnivore
American Foxhound,['North-America'],Animalia,Chordata,Mammalia,Omnivore
American Hairless Terrier,['North-America'],Animalia,Chordata,Mammalia,Omnivore
American Leopard Hound,['North-America'],Animalia,Chordata,Mammalia,Omnivore
American Pit Bull Terrier,['North-America'],Animalia,Chordata,Mammalia,Omnivore
American Pygmy Goat,['North-America'],Animalia,Chordata,Mammalia,Herbivore
American Staffordshire Terrier,['North-America'],Animalia,Chordata,Mammalia,Omnivore
American Water Spaniel,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Amur Leopard,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Carnivore
Anatolian Shepherd Dog,['Europe'],Animalia,Chordata,Mammalia,Omnivore
Angora Ferret,"['Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivore
Angora Goat,"['Africa', 'Asia', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Mammalia,Herbivore
Anteater,"['Central-America', 'South-America']",Animalia,Chordata,Mammalia,Omnivore
Antelope,"['Africa', 'Asia', 'Eurasia', 'North-America']",Animalia,Chordata,Mammalia,Herbivore
Ape,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Herbivore
Appenzeller Dog,['Europe'],Animalia,Chordata,Mammalia,Omnivore
Apple Head Chihuahua,['Central-America'],Animalia,Chordata,Mammalia,Omnivore
Arctic Fox,"['Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivore
Arctic Hare,['North-America'],Animalia,Chordata,Mammalia,Herbivore
Arctic Wolf,['North-America'],Animalia,Chordata,Mammalia,Carnivore
Armadillo,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Omnivore
Asian Elephant,['Asia'],Animalia,Chordata,Mammalia,Herbivore
Asian Palm Civet,['Asia'],Animalia,Chordata,Mammalia,Carnivore
Asiatic Black Bear,"['Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Omnivore
Aurochs,"['Asia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Omnivore
Aussiedoodle,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Aussiedor,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Australian Bulldog,['Oceania'],Animalia,Hemichordata,Mammalia,Omnivore
Australian Cattle Dog,['Oceania'],Animalia,Chordata,Mammalia,Omnivore
Australian Kelpie Dog,['Oceania'],Animalia,Chordata,Mammalia,Omnivore
Australian Labradoodle,['Oceania'],Animalia,Chordata,Mammalia,Omnivore
Australian Mist,['Oceania'],Animalia,Chordata,Mammalia,Omnivore
Australian Retriever,['North-America'],Animalia,Chordata,Mammalia,Omnivore
Australian Shepherd,"['North-America', 'Oceania']",Animalia,Chordata,Mammalia,Omnivore
Australian Terrier,['Oceania'],Animalia,Chordata,Mammalia,Omnivore
Aye Aye,['Africa'],Animalia,Chordata,Mammalia,Omnivore
Babirusa,['Asia'],Animalia,Chordata,Mammalia,Omnivore
