name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_special_features,domesticos,protegidos,exoticos,altura_cm,peso_en_kg
Aardvark,['Africa'],Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,"Termites, Ants",Cub,Solitary,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18.0,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,BrownGreyYellow,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,60.0,60.0
Aardwolf,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Termites and other insects,Cubs or pups,Solitary,Unknown,Habitat loss,The thick mane that runs along the back,"Maanhaar-jackal, termite-eating hyena, and civet hyena",90 days,Savannas and grasslands,Carnivore,Unknown,Unknown,aardwolf,1.0,Sub-Saharan Africa,Unknown,Unknown,BrownYellowBlack,Hair,Unknown,15 years,17-31lbs,33-41in,1.5-2 years,3-4 months,2-5,"Jackals, lions, and leopards",mammal,16-20in,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,93.98,10.88621688
Abyssinian,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,aka Aby or Abys for short,Unknown,Unknown,Omnivore,6,Unknown,Abyssinian cat,Unkown,Unknown,The oldest breed of cat in the world!,Cat,BrownGreyBlackWhiteBeige,Hair,Unknown,13-15 years,6-10 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Shorthair,Unknown,Silky fur and almond shaped eyes,Intelligent and curious,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,4.535923700000001
Addax,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,Unknown,Calf,Social,Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,Unknown,Unknown,Addax,1.0,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",Unknown,herd,WhiteGrey-Brown,Hair,Unknown,19-25 years,Unknown,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,1-2,"Humans, big cats such as lions and leopards, medium-sized cats such as servals, hyenas and African wild dogs",Mammal,"Males 41 to 45 inches at the shoulder, females 37 to 43 inches at the shoulder",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,129.54,
Affenpinscher,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,3,Unknown,Affenpinscher,Unkown,Unknown,First bred in 17th century Germany!,Dog,GreyBlack,Hair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Terrier,Unknown,Dark wiry-haired body and dark eyes,Alert and inquisitive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Afghan Hound,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,7,Unknown,Afghan Hound,Unkown,Unknown,First used as a shepherd and hunter!,Dog,BrownBlackWhiteGold,Hair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Hound,Unknown,Long fur and pointed muzzle,Alert yet reserved and lively,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,
African Bush Elephant,['Africa'],Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,"Grass, Fruit, Roots",Calf,Herd,"300,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1.0,central and southern Africa,Can drink up to 50 gallons a day,Mammal,BrownGrey,Leather,25 mph,60 - 70 years,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",Unknown,11 - 20 years,6 - 18 months,Unknown,"Human, Lion, Hyena",Unknown,3m - 3.5m (10ft - 12ft),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,600.0,600.0
African Civet,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,"Rodents, Snakes, Frogs",Pup,Solitary,Abundant,Habitat loss,Black band around their eyes,Unknown,60 - 70 days,Tropical rainforest,Omnivore,3,Nocturnal,African Civet,1.0,across sub-Saharan Africa,Secretes up to 4g of musk every week!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,Unknown,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),Unknown,11 - 12 months,8 - 10 weeks,Unknown,"Lions, Snakes, Leopards",Unknown,43cm - 71cm (17in - 28in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,2.95
African Forest Elephant,['Africa'],Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,"Grass, Fruit, Roots",Calf,Herd,"200,000",Poaching and habitat loss,"Rounded ears and thin, straight tusks",African Elephant,22 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Forest Elephant,1.0,central and southern Africa,Have large rounded ears to help keep them cool!,Mammal,BrownGrey,Leather,24 mph,60 - 70 years,"900kg - 3,000kg (1,984lbs - 6,613lbs)",Unknown,11 - 20 years,5 years,Unknown,"Human, Lion, Hyena",Unknown,2m - 3m (6.6ft - 9.8ft),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,900.0,900.0
African Palm Civet,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata,"Rodents, Snakes, Frogs",Pup,Solitary,Locally abundant,Habitat loss,"Snout with sharp, pointed teeth",Two-Spotted Palm Civet,64 days,Tropical rainforest,Omnivore,2,Crepuscular,African Palm Civet,1.0,eastern Africa,Solitary but gathers in groups!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,Unknown,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),Unknown,2 - 3 years,2 months,Unknown,"Lions, Snakes, Leopards",Unknown,43cm - 71cm (17in - 28in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,2.95
