name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos
Albacore Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,,,School,More than a million,Overfishing,The long pectoral fin that stretches across the body,Longfin tuna,A few days,Oceans,Carnivore,,,Albacore tuna,1.0,,,,GreyBlueSilver,Smooth,50 mph,10 - 12 years,Up to 80lbs,1.2m (4ft),,,,"Sharks, billfish, rays, humans, and other tunas",Ray-finned fish,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",Salt,,,,,,,,,1,0,0
Alligator Gar,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,,,Solitary,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,,,Alligator Gar,1.0,,,,BrownGreyYellowWhiteGreen,Scales,,About 50 years,Up to 350lbs,Up to 3m (10ft),,,,Humans and alligators,Ray-finned fish,,,,,,,,"Fish, turtles, birds, and mammals",Fresh,,,,,,,,,1,0,0
Anchovies,['Ocean'],Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,,,Recently hatched fish and planktons,,School,"20,700 metric tons","Halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Protruding upper jaw that extends to behind their eyes,,,"Salt waters and brackish waters, as well as in temperate waters",Omnivore,,,,144.0,,,,Green,Scales,,4 years,A few ounces,"5 to 6 inches, 10 inches at the maximum",,,,"Humans, halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Fish,,,,,,,,,Brackish,,,Recently hatched fish and planktons,,,,,,1,0,0
Angelfish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,,,,Social,Unknown,Water pollution,Brightly colored scales,,1-3 days,Coral reefs,Omnivore,,,Angelfish,90.0,,There are 70 different species!,,YellowBlueBlackWhiteGreen,Scales,,Up to 15 years,Up to 2 pounds,8 to 12 inches,,,,"Larger fish, barracudas, sharks",Perciformes,,,,,,,,"Sponges, algae",Salt,,,Fish,,,6.5 - 7.2,,,1,0,0
Anglerfish,['Ocean'],Animalia,Chordata,Actinopterygii,Lophiiformes,,,,Crustaceans and fish,,Solitary,Unknown,,The lure,Seadevils,Up to a few weeks,,Omnivore,,,,,,,,BrownGreyYellowBlackGreen,Skin,,Up to 25 years,Up to 110lbs,Up to 1.2m (4ft),,,,,,,,,,,,,,,,,,,,,,,1,0,0
Arapaima,['South-America'],Animalia,Chordata,Actinopterygii,Osteoglossiformes,Arapaimidae,Arapaima,,"fish, insects, seeds",,Solitary,,"Overfishing, habitat destruction",,Pirarucu,,,Omnivore,,,Arapaima,4.0,,,,RedBlackGreenLight-Brown,Scales,,20 years,200kg-220kg (440lbs - 485lbs),10ft-15ft (3m-4.5m),,,,"humans, caimans",Bonytongue,,Red tail,,,,,,,Fresh,,,,,,6.0 - 6.5,,,1,0,0
Banana Eel,['Ocean'],Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax miliaris,"Crustaceans, mollusks, small fish.",,Solitary,Unknown,Bigger fish,Yellow body,"Golden banana moray eel, golden-tail moray, bastard eel, conger moray",,"Reefs, rocky coasts, and other shallow waters with hiding places from predators.",Carnivore,,,Golden-tail moray,1.0,,,,BrownYellow,Scales,,12 – 15 years,,2 feet long,,,,Bigger fish,Fish,,,,,,,,,Salt,,,,,,8.1 – 8.4,,,1,0,0
Barb,"['Africa', 'Asia', 'Eurasia', 'South-America']",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus Barbus,"Small fish, algae, insects",,School,unknown,water pollution,vibrant colors,,3-4 days,Slow flowing rivers and lagoons,Omnivore,,,Barb,1768.0,,There are over 1768 known species!,,YellowRedBlackWhiteOrangeSilver,Scales,,3 - 7 years,,2-13 inches,,,,"Fish, Birds, Reptiles",Cypriniformes,,Easily adaptable and rows of teeth,,,1500.0,,,"Fish, Shrimp, Algae",Fresh,,,Fish,,,6.0 - 8.0,,,1,0,0
Barracuda,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Sphyraena,,,,,,,,,Coastal lagoons and coral reefs,Carnivore,,,Barracuda,,,Can grow to nearly 2 meters long!,,BrownGreyBlueBlack,Smooth,,10 - 15 years,,0.5m - 2m (20in - 79in),,,,"Sharks, Humans, Killer Whales",,,Large body size and powerful jaws,,,1000.0,,,"Fish, Plankton, Invertebrates",Salt,,,Fish,,,5 - 7,,,1,0,0
Barramundi Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Latidae,Lates,Lates calcarifer,"Fish, crustaceans, mollusks",,Solitary,,Ocean acidification,"Pointed, concave head","Asian sea bass, giant sea perch",,"Rivers, streams, ocean",Carnivore,,,Barramundi,1.0,,,,GreenSilver,Scales,,,120lbs,1.5m (4.9ft),,,,"Humans, snakes, birds, crocodiles",Fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Beluga Sturgeon,['Ocean'],Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,Huso huso,Fish,,Solitary/Group,Unknown,Overfishing,The bony armor,Great sturgeon,A few days,"Rivers, estuaries, and seas",Carnivore,,,Beluga,,,,,GreyBlueWhiteDark Brown,Skin,,More than 50 years,"Up to 3,500 pounds",Up to 20 feet,,,,,Fish,,,,,,,,,Saltwater,,,,,,,,,1,0,0
Betta Fish (Siamese Fighting Fish),['Asia'],Animalia,Chordata,Actinopterygii,Perciformes,Osphronemidae,Betta,Betta splendens,"Zooplankton, small crustaceans, larvae",,Territorial,,"Habitat destruction, pollution, and cold temperatures","Brilliant colors, aggressiveness, long tail fin",Betta or Betta splendens,,"Marshes, flood plains, paddy fields",Carnivore,,,Siamese Fighting Fish,73.0,,Can live in low-oxygen environments!,,BrownGreyYellowRedBlueWhiteGoldGreenOrangeMulti-colored,Scales,,3-5 years,,6-8cm (2.4-3.1in),,,,"Larger fish, cats, newts, salamanders, birds, humans",Anabantoid,,,,,30.0,,,,Fresh,,,Insects,,,6.9 - 7.2,,,1,0,0
Black Marlin,['Ocean'],Animalia,Chordata,Actinopterygii,Istiophoriformes,Istiophordae,Istiompax,Istiompax Indica,,,,Unknown,Humans and human activities,,,,,Omnivore,,,,,,,,,Scales,,Females: 11 years | Males: 5 years,1653,183.6 inches,,,,,,,,,,,,,"Fish, squid, octopods",Salt,,,,,,,,,1,0,0
Blue Catfish,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus furcatus,Aquatic animals,,School,Unknown; 100 million in the Chesapeake Bay,None,Large size,"Blue channel, chucklehead cat, Mississippi cat, Fulton cat, forktail cat, great forktail cat, humpback blue, silver cat, and highfin blue",6-10 days,"Reservoirs, rivers, lakes, and ponds",Omnivore,,,Blue catfish,1.0,,,,GreyBlueSilver,Scales,0.6 mph,9-25 years,25-150lbs,24-65in,,,,"Osprey, bald eagles, and humans",Fish,,,,,,,,,Brackish,,,,,,5.0-7.0,,,1,0,0
Bluefin Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,,,,School,More than a million,Overfishing,The torpedo-shaped body,Giant bluefin,A few days,Oceans,Carnivore,,,Bluefin tuna,3.0,,,,GreyBlueSilver,Smooth,50 mph,Up to 40 years,"Up to 2,000lbs",1.8m – 4.2m (6ft - 14ft),,,,,Ray-finned fish,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",,,,,,,,,,1,0,0
Carp,['Asia'],Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,,"Aquatic plants, insects, crustaceans, worms, and zooplankton",,School,Unknown,Pollution and habitat change,The small whiskers,,3-8 days,"Lakes, rivers, and ponds",Omnivore,,School,Carp,,,,,BrownBlueBlackWhiteGreenOrangeSilver,Scales,,Up to 40 years in captivity,Up to 49lbs,35cm (14in) on average,,,,"Birds, aquatic mammals, and other fish",Ray-finned fish,,,,,,,,,Fresh,,,,,,,,,1,0,0
Chinese Paddlefish,['Asia'],Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Psephurus,Psephurus gladius,,,Largely solitary,Unknown,Habitat changes and overfishing,The large paddle-shaped nose,Elephant fish,A few days,Rivers and estuaries,Carnivore,,,Chinese paddlefish,1.0,,,,GreySilver,Smooth,,,Up to 992lbs,Up to 7m (23ft),,,,,Ray-finned fish,,,,,,,,"Fish, crabs, and shrimp",,,,,,,,,,1,0,0
Chinook Salmon,['Ocean'],Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,"Crustaceans, insects, and other fish",,School,Millions,"Over fishing, habitat loss, and pollution",The silvery scales,"King salmon, spring salmon, blackmouth, Quinnat salmon, and more",3-5 months,Northern Pacific,Carnivore,,,Chinook salmon,1.0,,,,RedBlueWhiteGreenPurpleSilverDull Olive,Scales,,Up to 7 years,Up to 59kg (130lbs),Up to 1.5m (5ft),,,,"Sharks, orcas, sea lions, birds, and larger fish",Ray-finned fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Cobia Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Carangiformes,Rachycentridae,Rachycentron,Rachycentron canadum,"Fish, crabs, squid",,Largely solitary,"At least 80,000",Overfishing,Its seven to nine dorsal spines,"Black salmon, black bonito, codfish, black kingfish, prodigal son, crabeater, ling, lemonfish, cabio, sergeant fish, sergeantfish, runner, cubby yew",24 to 36 hours,"Warm to tropical oceans, mangroves, estuaries",Carnivore,,,Cobia,1.0,,,,WhiteDark Brown,Scales,,15 years,Up to 135 pounds,78 inches,,,,"Humans, sharks, mahi-mahi",Fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Crappie Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,,"Zooplankton, insect, crustaceans, and fish.",,School,Unknown.,Fishing.,The speckled body.,"White perch, paper mouths, strawberry bass, and more.",2-3 days.,"Rivers, ponds, pools, and lakes.",Omnivore,,,,2.0,,,,BlackWhiteGreenSilver,Scales,,,,,,,,,Ray-finned fish.,,,,,,,,,Fresh,,,,,,6-7.5,,,1,0,0
Crucian Carp,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius carassius,"water fleas, organic detritus, algae, zooplankton, aquatic weeds, small crustaceans, insects, larvae, fish eggs, small fish and small animals living in the lake, pond or river mud",,School,Abundant,genetic invasion by Prussian carp and goldfish,,"English carp, golden carp, gibele and Prussian carp",2-3 days,"lakes, ponds, slow-moving rivers",Omnivore,,,Crucian carp,1.0,,,,GoldGreen,Scales,2.7 mph,Up to 10 years,4.4lbs to 6.6lbs,6in to 2.1ft (64cm),,,,"Bass, European catfish, European smelt, blue tilapia, snakes, northern pike, Little egret",Cyprinidae - carp,,"Looks like a big, golden-green goldfish",,,,,,,,,,,,1.0,6.5-9.0,,,1,0,0
Danios,['Asia'],Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,"small insects, worms",,School,,loss of habitat,Stripes down the side of most species,Zebra fish,1.5-2 days,"streams, ponds",Omnivore,,,Danios,27.0,,,,BlackWhite,Scales,,Up to 5 years,,,,,,Larger fish and amphibians,,,,,,,,,,Fresh,,,,,,7.0-7.8,,,1,0,0
Dragonfish,['Data Deficient'],Animalia,Chordata,Actinopterygii,Syngnathiformes and Stomiiformes,Stomiidae and Pegasidae,Eurypegasus,,"Eggs, insects, insect larvae, planktons, small invertebrates",,,unknown,Red founder fish,Protruding fangs,"Sea moths, black dragonfish","Not known, though some reports suggest up to four weeks",Deep waters in Indo-Pacific oceans,Carnivore,,,Sea moth or black dragonfish,,,,,RedBlack,Scales,,"10+ years, which may vary",13 to 15 grams,6.5 to 15 inches long,,,,Red founder fish,Fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Electric Catfish,['Africa'],Animalia,Chordata,Actinopterygii,Siluriformes,Malapteruridae,,,"Fish, invertebrates, and eggs",,Solitary,Unknown,None,The three pairs of barbells on the face,None,,African rivers and lakes,Carnivore,,,Electric Catfish,21.0,,,,BrownGreyRedWhiteCream,Skin,,Average of 10 years,4.4kg (2lbs),Up to 1.2m (4ft),,,,Larger fish,Ray-finned fish,,,,,,,,,Fresh,,,,,,7.0 – 8.0,,,1,0,0
Escolar,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Gempylidae,Lepidocybium,Lepidocybium flavobrunneum,"Other fish, squid, cuttlefish, crustaceans",,Solitary,unknown,Being caught as by-catch by tuna fisheries,Sideways keel on the tail,"White tuna, butterfish, ex-lax fish, skolier, black oilfish, tuna minyak, snake mackerel, waloo",,Temperate and tropical oceans save the northern Indian Ocean,Carnivore,,,Escolar,1.0,,,,BrownGreyBlack,Scales,,11 years,,7 feet,,,,"Humans, yellowfin tuna",Fish,,,,,,,,,Salt,,,,,,6.0-8.0,,,1,0,0
Fangtooth,['Ocean'],Animalia,Chordata,Actinopterygii,Beryciformes,Anoplogastridae,Anoplogaster,Anoplogaster,"Scallops, coral",,Solitary/Group,Unknown,"Tuna, marlin, small sharks",Protruding jaw and fangs,Common fangtooth,Unknown,Deep ocean,Carnivore,,,,,,,,BrownGreyYellowBlack,Scales,,,75lbs,1.05m - 2.20m (3.4ft - 7.3ft),,,,,Beryciform,,,,,,,,,Saltwater,,,,,,,,,1,0,0
Florida Gar,['North-America'],Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus platyrhincus,,,School,Unknown,Habitat loss,Sharp teeth,Garpike,A few days,"Rivers, lakes, canals, and wetlands",Carnivore,,,Florida Gar,1.0,,,,BrownBlackWhiteGreen,,,Unknown,Up to 10lbs,Up to 1.3m (52in),,,,"Humans, alligators, and birds",Ray-finned fish,,,,,,,,"Fish, shrimp, and crayfish",,,,,,,,,,1,0,0
Football Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Lophiiformes,Himantolophidae,Himantolophus,,"Fish, crustaceans, and squid",,Solitary,Unknown,Climate change,The glowing lure on the female’s head,None,Unknown,"Pacific, Atlantic, and Indian Oceans",Carnivore,,,Football Fish,22.0,,,,BrownBlack,Scales,,Possibly up to 30 years,Up to 11kg (24lbs),2.5 – 61cm (1 – 24in),,,,"Whales, sharks, and other football fish",Ray-finned fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Freshwater Eel,"['Africa', 'Asia', 'North-America', 'Ocean', 'South-America']",Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,"Shrimp, crabs, lobsters, octopus, worms, frogs, mussels, clams, oysters, snails, sea slugs, lizards and other small fish",,SolitaryTerritorial,unknown,"Overfishing, parasites, obstructions, ocean drift changes",Snake-like body,,1-2 weeks,"Rivers, streams, and other freshwater areas, except for the Pacific coast of the Americas and the South Atlantic coasts",Carnivore,,,eel,19.0,,,,BrownYellowOlive,,2.4 mph,5-70 years,2.5 lbs,16-33 inches,,,,"Eagles, osprey, herons, cormorants, raccoons, and humans",,,,,,,,,,Fresh,,,,,,6.5-7.5,,,1,0,0
Gar,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,,Lepisosteidae,"Crustaceans, insects, frogs, and fish",,Solitary/Group,The gar evolved from an ancient lineage of fish!,Hunting,The long snout,Garpike,A few days,"Rivers, bayous, lakes, and estuaries",Carnivore,,,Gar,,,Can grow to more than 3m long!,,BrownGreyYellowBlueBlackGreen,Scales,,10 - 20 years,Up to 350 pounds,Up to 10 feet,,,,"Large Fish, Alligators, Humans",Fish,,,,,10.0,,,,Fresh,,,Fish,,,6 - 9,,,1,0,0
