name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,characteristics_diet
Aesculapian snake,"['Asia', 'Europe']",Animalia,Chordata,Reptilia,Carnivore
Agama Lizard,['Africa'],Animalia,Chordata,Reptilia,Omnivore
Aldabra Giant Tortoise,['Ocean'],Animalia,Chordata,Reptilia,Herbivore
Alligator,"['Asia', 'North-America', 'Ocean']",Animalia,Chordata,Reptilia,Carnivore
Anaconda,['South-America'],Animalia,Chordata,Reptilia,Carnivore
Anole Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Omnivore
Arafura File Snake,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Omnivore
Arizona Black Rattlesnake,['North-America'],Animalia,Chordata,Reptilia,Carnivore
Armadillo Lizard,['Africa'],Animalia,Chordata,Reptilia,Carnivore
Aruba Rattlesnake,['South-America'],Animalia,Chordata,Reptilia,Carnivore
Asian Vine Snake,['Asia'],Animalia,Chordata,Reptilia,Carnivore
Asp,['Europe'],Animalia,Chordata,Reptilia,Omnivore
Australian Gecko,['Oceania'],Animalia,Chordata,Reptilia,Omnivore
Ball Python,['Africa'],Animalia,Chordata,Reptilia,Carnivore
Banana Ball Python,['Africa'],Animalia,Chordata,Reptilia,Carnivore
Banded Water Snake,['North-America'],Animalia,Chordata,Reptilia,Omnivore
Basilisk Lizard,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Carnivore
Bearded Dragon,['Oceania'],Animalia,Chordata,Reptilia,Omnivore
Black Mamba,['Africa'],Animalia,Chordata,Reptilia,Carnivore
Black Rat Snake,['North-America'],Animalia,Chordata,Reptilia,Carnivore
Blue Belly Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Carnivore
Blue Iguana,['Central-America'],Animalia,Chordata,Reptilia,Omnivore
Boiga,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Carnivore
Boomslang,['Africa'],Animalia,Chordata,Reptilia,Omnivore
Brookesia Micra,['Africa'],Animalia,Chordata,Reptilia,Carnivore
Brown Snake,['Oceania'],Animalia,Chordata,Reptilia,Carnivore
Brown Water Snake,['North-America'],Animalia,Chordata,Reptilia,Omnivore
Bullsnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Omnivore
Bushmaster Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Omnivore
Caiman,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Carnivore
Caiman Lizard,['South-America'],Animalia,Chordata,Reptilia,Carnivore
Cantil,['Central-America'],Animalia,Chordata,Reptilia,Carnivore
Carpet Python,['Oceania'],Animalia,Chordata,Reptilia,Omnivore
Carpet Viper,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Carnivore
Cascabel,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Carnivore
Cat-Eyed Snake,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Carnivore
Chameleon,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Omnivore
Chicken Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Carnivore
Chinese Alligator,['Asia'],Animalia,Chordata,Reptilia,Carnivore
Coachwhip Snake,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Omnivore
Collett’s Snake,['Oceania'],Animalia,Chordata,Reptilia,Omnivore
Common European Adder,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Reptilia,Carnivore
Copperhead,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Carnivore
Coral Snake,"['Asia', 'Central-America', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Carnivore
Corn Snake,['North-America'],Animalia,Chordata,Reptilia,Carnivore
Death Adder,['Oceania'],Animalia,Chordata,Reptilia,Omnivore
